id,depth,n_node_samples,impurity,value
617,24,40,0.0609374,"[0,0,39,0,1]"
618,25,34,0,"[0,0,34,0,0]"
619,25,6,0.347222,"[0,0,5,0,1]"
620,23,3,0.555556,"[1,0,2,0,0]"
621,21,7,0.714286,"[4,1,0,0,2]"
622,19,2,0.625,"[1,1,0,0,0]"
623,17,2,0,"[2,0,0,0,0]"
624,12,595,0.885213,"[162,45,129,18,241]"
625,13,312,0.867747,"[71,19,74,11,137]"
626,14,232,0.788124,"[34,17,41,11,129]"
627,15,20,0.78125,"[9,1,2,0,8]"
628,16,18,0.794753,"[7,1,2,0,8]"
629,17,13,0.680473,"[3,0,2,0,8]"
630,18,1,0,"[0,0,1,0,0]"
631,18,12,0.607639,"[3,0,1,0,8]"
632,19,5,0,"[0,0,0,0,5]"
633,19,7,0.765306,"[3,0,1,0,3]"
634,17,5,0.4,"[4,1,0,0,0]"
635,16,2,0,"[2,0,0,0,0]"
636,15,212,0.772628,"[25,16,39,11,121]"
637,16,169,0.653076,"[16,1,31,10,111]"
638,17,141,0.468286,"[14,1,6,10,110]"
639,18,81,0.228243,"[3,0,0,5,73]"
640,19,3,0.555556,"[0,0,0,2,1]"
641,19,78,0.181213,"[3,0,0,3,72]"
642,20,76,0.15625,"[2,0,0,3,71]"
643,21,42,0.270692,"[2,0,0,3,37]"
644,22,35,0.2,"[1,0,0,2,32]"
645,23,2,0.625,"[0,0,0,1,1]"
646,23,33,0.144628,"[1,0,0,1,31]"
647,24,30,0.0805555,"[0,0,0,1,29]"
648,25,1,0,"[0,0,0,1,0]"
649,25,29,0,"[0,0,0,0,29]"
650,24,3,0.555556,"[1,0,0,0,2]"
651,22,7,0.561225,"[1,0,0,1,5]"
652,21,34,0,"[0,0,0,0,34]"
653,20,2,0.625,"[1,0,0,0,1]"
654,18,60,0.711111,"[11,1,6,5,37]"
655,19,32,0.571289,"[4,1,1,3,23]"
656,20,3,0.555556,"[2,0,1,0,0]"
657,20,29,0.442925,"[2,1,0,3,23]"
658,21,12,0,"[0,0,0,0,12]"
659,21,17,0.66609,"[2,1,0,3,11]"
660,22,5,0.7,"[0,1,0,3,1]"
661,22,12,0.347222,"[2,0,0,0,10]"
662,23,9,0,"[0,0,0,0,9]"
663,23,3,0.555556,"[2,0,0,0,1]"
664,19,28,0.813138,"[7,0,5,2,14]"
665,20,18,0.563272,"[2,0,1,2,13]"
666,21,10,0,"[0,0,0,0,10]"
667,21,8,0.898438,"[2,0,1,2,3]"
668,20,10,0.725,"[5,0,4,0,1]"
669,17,28,0.245536,"[2,0,25,0,1]"
670,18,2,0,"[2,0,0,0,0]"
671,18,26,0.0924556,"[0,0,25,0,1]"
672,19,9,0.246914,"[0,0,8,0,1]"
673,19,17,0,"[0,0,17,0,0]"
674,16,43,0.931585,"[9,15,8,1,10]"
675,17,10,0.725,"[4,1,5,0,0]"
676,17,33,0.870064,"[5,14,3,1,10]"
677,18,19,0.602493,"[1,13,0,1,4]"
678,19,7,0.714286,"[1,2,0,0,4]"
679,19,12,0.190972,"[0,11,0,1,0]"
680,20,8,0,"[0,8,0,0,0]"
681,20,4,0.46875,"[0,3,0,1,0]"
682,18,14,0.854592,"[4,1,3,0,6]"
683,19,9,0.617284,"[2,0,1,0,6]"
684,19,5,0.8,"[2,1,2,0,0]"
685,14,80,0.756641,"[37,2,33,0,8]"
686,15,65,0.732544,"[26,0,32,0,7]"
687,16,54,0.755315,"[24,0,23,0,7]"
688,17,38,0.623269,"[18,0,20,0,0]"
689,18,36,0.625,"[18,0,18,0,0]"
690,19,10,0.4,"[8,0,2,0,0]"
691,19,26,0.591716,"[10,0,16,0,0]"
692,20,17,0.449827,"[4,0,13,0,0]"
693,21,3,0.555556,"[2,0,1,0,0]"
694,21,14,0.306122,"[2,0,12,0,0]"
695,22,12,0.190972,"[1,0,11,0,0]"
696,23,2,0.625,"[1,0,1,0,0]"
697,23,10,0,"[0,0,10,0,0]"
698,22,2,0.625,"[1,0,1,0,0]"
699,20,9,0.555556,"[6,0,3,0,0]"
700,18,2,0,"[0,0,2,0,0]"
701,17,16,0.791016,"[6,0,3,0,7]"
702,18,15,0.788889,"[5,0,3,0,7]"
703,19,11,0.785124,"[5,0,2,0,4]"
704,20,2,0,"[0,0,0,0,2]"
705,20,9,0.740741,"[5,0,2,0,2]"
706,19,4,0.46875,"[0,0,1,0,3]"
707,18,1,0,"[1,0,0,0,0]"
708,16,11,0.371901,"[2,0,9,0,0]"
709,17,8,0,"[0,0,8,0,0]"
710,17,3,0.555556,"[2,0,1,0,0]"
711,15,15,0.544444,"[11,2,1,0,1]"
712,16,14,0.459184,"[11,1,1,0,1]"
713,17,12,0.364583,"[10,0,1,0,1]"
714,18,2,0.625,"[1,0,0,0,1]"
715,18,10,0.225,"[9,0,1,0,0]"
716,17,2,0.625,"[1,1,0,0,0]"
717,16,1,0,"[0,1,0,0,0]"
718,13,283,0.893412,"[91,26,55,7,104]"
719,14,193,0.9064,"[68,18,39,7,61]"
720,15,125,0.83248,"[33,18,6,7,61]"
721,16,119,0.811207,"[30,17,5,6,61]"
722,17,7,0.306122,"[6,1,0,0,0]"
723,17,112,0.790218,"[24,16,5,6,61]"
724,18,86,0.833897,"[21,15,4,4,42]"
725,19,56,0.651307,"[10,5,2,2,37]"
726,20,53,0.619438,"[10,4,2,1,36]"
727,21,33,0.45225,"[3,3,1,0,26]"
728,22,30,0.366667,"[3,1,1,0,25]"
729,23,29,0.306183,"[3,0,1,0,25]"
730,24,8,0,"[0,0,0,0,8]"
731,24,21,0.402494,"[3,0,1,0,17]"
732,25,18,0.131173,"[0,0,1,0,17]"
733,26,17,0,"[0,0,0,0,17]"
734,26,1,0,"[0,0,1,0,0]"
735,25,3,0,"[3,0,0,0,0]"
736,23,1,0,"[0,1,0,0,0]"
737,22,3,0.555556,"[0,2,0,0,1]"
738,21,20,0.775,"[7,1,1,1,10]"
739,22,9,0.462963,"[0,1,0,1,7]"
740,22,11,0.640496,"[7,0,1,0,3]"
741,23,5,0.6,"[2,0,0,0,3]"
742,23,6,0.347222,"[5,0,1,0,0]"
743,20,3,0.833333,"[0,1,0,1,1]"
744,19,30,0.897222,"[11,10,2,2,5]"
745,20,27,0.912208,"[8,10,2,2,5]"
746,21,5,0.9,"[0,1,1,1,2]"
747,21,22,0.847107,"[8,9,1,1,3]"
748,22,12,0.763889,"[1,7,1,1,2]"
749,23,5,0.4,"[0,4,1,0,0]"
750,23,7,0.867347,"[1,3,0,1,2]"
751,22,10,0.575,"[7,2,0,0,1]"
752,20,3,0,"[3,0,0,0,0]"
753,18,26,0.554734,"[3,1,1,2,19]"
754,19,23,0.382798,"[1,0,1,2,19]"
755,20,1,0,"[0,0,1,0,0]"
756,20,22,0.304752,"[1,0,0,2,19]"
757,21,16,0.400391,"[1,0,0,2,13]"
758,22,15,0.288889,"[0,0,0,2,13]"
759,23,7,0.510204,"[0,0,0,2,5]"
760,23,8,0,"[0,0,0,0,8]"
